collection||شعب الإيمان
hadith|4309|اخبرنا أبو عبد الله الحافظ نا أبو العباس محمد بن يعقوب نا الربيع بن سليمان نا عبد الله بن وهب نا سليمان بن بلال ح قال وانا أبو عبد الله محمد بن يعقوب نا حسين بن حسن بن مهاجر نا هارون بن سعيد الأيلي انا بن وهب عن سليمان بن بلال عن نور عن أبي الغيث عن أبي هريرة ان رسول الله صلى الله عليه وسلم قال اجتنبوا السبع الموبقات قيل يارسول الله وما هن قال الشرك بالله والسحر وقتل النفس التي حرم الله الا بالحق وأكل الربا وأكل مال اليتيم والتولي يوم الزحف وقذف المحصنات الغافلات رواه مسلم في الصحيح عن هارون بن سعيد وأخرجه البخاري عن عبد العزيز الاويسي عن سليمان
hadith|4310|أخبرنا أبو عبد الله الحافظ نا أبو العباس محمد بن يعقوب نا أحمد بن شيبان الرملي نا سفيان بن عيينة عن عمرو بن دينار قال قال بن عباس كتب عليهم ان لا يفر عشرون من مائتين ثم قال الآن خفف الله عنكم وعلم ان فيكم ضعفا فان يكن منكم مائة صابرة يغلبوا مائتين فكتب عليهم أن لا يفر مائة من مائتين قال سفيان لا يجتمع غبار في سبيل الله ودخان جهنم في جوف مؤمن قد روينا هذا الكلام من وجه آخر مرفوعا إلى النبي صلى الله عليه وسلم والحديث الذي رويناه عن بن عباس أخرجه البخاري في الصحيح من حديث بن عيينة
hadith|4311|اخبرنا أبو محمد جناح بن نذير بن جناح القاضي بالكوفة انا أبو جعفر محمد بن علي بن دحيم نا أحمد بن حازم بن أبي غرزة انا عبيد الله بن موسى انا علي بن صالح عن يزيد بن أبي زياد عن عبد الرحمن بن أبي ليلى عن بن عمر قال كنت في جيش فحاص الناس حيصة فكنت فيمن حاص فقلنا قد بؤنا من الله بغضب فلو تنحينا فلم يرنا أحد ثم قلنا لو أتينا المدينة فتزودنا منها فأتينا المدينة فقلنا لو عرضنا أنفسنا على رسول الله صلى الله عليه وسلم لعل لنا توبة فلما خرج إلى صلاة الغداة فقلنا يا رسول الله نحن الفرارون قال بل أنتم الكرارون أنا فئة كل مسلم
hadith|4312|اخبرنا أبو نصر بن قتادة انا أبو الحسن محمد بن أحمد بن زكريا الاديب نا أبو الفضل أحمد بن سلمة نا الحسن بن عيسى نا بن المبارك انا سعد عن حبيب بن أبي ثابت عن نعيم بن أبي هند قال قال رجل يوم القادسية اللهم ان تذمه سوداء تذمه يعني امرأته فزوجني اليوم مكانها من الحور العين فمروا عليه وهو معانق فارسا فذكر من عظمه وهو يتلوا هذه الآية من المؤمنين رجال صدقوا ما عاهدوا الله عليه حتى أتم الآية فماتا جميعا
hadith|4313|أخبرنا أبو محمد عبد الله بن يوسف الاصبهاني أنا أبو سعيد أحمد بن محمد بن زياد البصري بمكة نا جعفر بن محمد بن شاكر نا عفان نا أبو عوانة أنا داود بن عبد الله الآزدي عن حميد بن عبد الرحمن الحميري أن رجلا من اصحاب النبي صلى الله عليه وسلم يقال له حممه جاء إلى أصبهان في خلافه عمر فقال اللهم ان حممه يزعم أنه يحب لقاءك فإن كان حممه صادقا فيما يقول فاعزم له على صدقة وان كان كاذبا فاعزم له عليه اللهم لا ترد حممه من سفره هذه فأخذه بطنه فمات بأصبهان فقام أبو موسى الاشعري فقال يا أيها الناس انا والله ما سمعنا فيما سمعنا من نبيكم صلى الله عليه وسلم ولا فيما بلغ علمنا الا أن حممة مات شهيدا
hadith|4314|أخبرنا أبو عبد الله الحافظ ومحمد بن موسى نا أبو العباس هو الاصم نا الربيع بن سليمان نا أيوب بن سويد عن عبد الرحمن بن يزيد بن جابر حدثني القاسم أبو عبد الرحمن قال غزونا مع فضالة بن عبيد ولم يغز فضالة بن عبيد في البر غيرها فبينا نحن نسير أو نسرع 1 في السير وهو أمير الجيش وكانت الولاة إذ ذاك يستمعون ممن استدعاهم الله عليه فقال له قائل يا أيها الامير ان الناس قد تقطعوا فقف حتى يلحقوك فوقف في مرج عليه قلعة فيها حصن فمنا الواقف ومنا النازل اذا نحن برجل ذي شوارب حمر 2 بين أظهرنا فأتينا به فضالة فقلنا ان هذا هبط من الحصن بلا عهد ولا عمد 3 فسأله فضالة ما شأنه فقال اني البارحة أكلت الخنزير وشربت الخمر فبينا أنا نائم اتاني رجلان غسلا بطني وجاءتني امرأتان لا تفضل أحداهما على الاخرى فقالتا اسلم فانا مسلم فما كانت كلمة اسرع من أن رمينا فافتل يهوي حتى اصابه فدمر عنقه فقال فضالة الله أكبر عمل قليلا وأجر كثيرا صلوا على صاحبكم فصلينا ثم دفناه قال القاسم هذا شيء أنا رأيته قال الشيخ أحمد وقد وقع من أمثال هذا في عهد النبي صلى الله عليه وسلم وقال في ذلك ما قال فضالة بن عبيد رضي الله عنه وكأنه اخذه عن النبي صلى الله عليه وسلم
hadith|4315|أخبرنا أبو عبد الله الحافظ نا أبو العباس محمد بن يعقوب نا إسماعيل بن إسحاق نا عبد الله بن رجا أنا اسرائيل عن أبي إسحاق عن البراء قال أتى رسول الله صلى الله عليه وسلم رجل متقنع 1 في الحديد فقال يا رسول الله أقاتل أو اسلم فقال لا بل أسلم ثم قاتل فاسلم فقاتل ثم قتل فقال هذا عمل قليلا وأجر كثيرا اخرجاه في الصحيح
hadith|4316|أخبرنا أبو علي الروذباري أنا أبو بكر بن داسه نا أبو داود نا موسى بن إسماعيل نا حماد أنا محمد بن عمرو عن أبي سلمة عن أبي هريرة أن عمرو بن أقيش كان له ربا في الجاهلية فكره أن يسلم حتى يأخذه فجاء يوم أحد فقال اين بنو عمي قالوا بأحد قال اين فلان قال بأحد قال اين فلان قالوا بأحد فلبس لامته وركب فرسه ثم توجه قبلهم فلما رآه المسلمون قالوا اليك عنا يا عمرو فقال اني آمنت فقاتل حتى جرح فحمل إلى أهله جريحا فجاءه سعد بن معاذ قال لاخيه سألته حمية لقومك أو غضبا لهم أم غضبا لله عز وجل قال بل غضبا لله ورسوله فمات ودخل الجنة وما صلى لله صلاة
hadith|4317|أخبرنا أبو عبد الله الحافظ في الجزء الذي وجدته فيه سماعي بخط الشعبي قال أنا أبو جعفر أحمد بن عبيد الحافظ نا إبراهيم بن الحسين نا عبد الله بن أبي بكر العتكي نا ربيعة بن كلثوم بن حر عن زياد بن مخراق عن بن عمر أن النبي صلى الله عليه وسلم مر بخباء أعرابي وهو في أصحابه يريدون الغزو فرفع الاعرابي ناحية من الخباء فقال من القوم فقيل له رسول الله صلى الله عليه وسلم واصحابه 1 يريدون الغزو فقال هل من عرض الدنيا يصيبون قيل له نعم يصيبون الغنائم ثم تقسم بين المسلمين فعمد إلى بكر له فاعتقله وسار معهم فجعل يدنو بكره إلى رسول الله صلى الله عليه وسلم وجعل أصحابه يذودون بكره عنه فقال رسول الله صلى الله عليه وسلم دعوا لي النجدي فوالذي نفسي بيده انه لمن ملوك الجنة قال فلقوا العدو فاستشهد فأخبر بذلك النبي صلى الله عليه وسلم فأتاه فقعد عند رأسه مستبشرا أو قال مسرورا يضحك ثم أعرض 2 عنه فقلنا يا رسول الله رأيناك مستبشرا تضحك ثم أعرضت عنه فقال أما ما رأيتم من استبشاري أو قال سروري فلما رأيت من كرامة روحه على الله تعالى وأما اعراضي عنه فإن زوجته 2 من الحور العين الآن عند رأسه
hadith|4318|أخبرنا أبو عبد الله الحافظ أخبرني أبو حبيب محمد بن أحمد بن موسى المصاحفي نا سهل بن عمار نا عبيد الله بن موسى نا أبو حمزة الثمالي عن أبي اليقظان عن زاذان عن جرير قال خرجنا مع رسول الله صلى الله عليه وسلم على رواحلنا فرفع له شخص فقال هذا رجل لا عهد له بالطعام 5 منذ كذا وكذا وإياي يريد فأسرع النبى صلى الله عليه وسلم وأسرعنا معه حتى استقبله فإذا فتى قد انتثرت شفتاه من أكل الثلج 1 فسأله من أين اقبلت فحدثه فقال وأنا أريد يثرب أريد محمدا لابايعه قال فأنا محمد أنا رسول الله قال السلام عليك يا رسول الله صف لي الاسلام قال أن تشهد أن لا إله الا الله وأني رسول الله وتقر بما جئت من عند الله قال أقررته قال وتقيم الصلاة قال اقررت قال وتؤدي 2 الزكاة قال اقررت قال وتصوم رمضان قال اقررت قال وتحج البيت قال اقررت ثم انصرف رسول الله صلى الله عليه وسلم 3 قال جرير وازدحمنا حين أنشأ يصف له الاسلام لننظر إلى أي شيء تنتهي صفته وكنا نهابه أن نسأله ثم انصرف وانصرفنا معه فوقع يد بكره في أذاقيق 4 الجرذان فاندقت عنقه فمات فقالوا قد مات يا رسول الله فأتاه رسول الله صلى الله عليه وسلم فنظر إليه ثم اعرض عنه بوجهه فقال احملوه إلى الماء فأمرنا فدفناه فغسلناه وحنطناه ثم قال احفروا له لحدا ولا تشقوا له اللحد فإن لنا والشق لاهل الكتاب وجلس على قبره لا يحدثنا بشيء ثم قال ألا احدثكم حديث هذا الرجل هذا امرء عمل قليلا وأجر كثيرا هذا ممن قد قال الله عز وجل 5 الذين آمنوا ولم يلبسوا إيمانهم بظلم اني أعرضت عنه أنفا وملكان يدسان في شدقه من ثمار الجنة فعرفت أن الرجل كان جائعا
hadith|4319|اخبرنا أبو عبد الله الحافظ قال سمعت أبا الحسين 1 بن أبي القاسم المذكر يقول سمعت عمر بن أحمد بن علي الجوهري يقول أخبرني أبي أبو العباس أحمد بن علي الجوهري قال قال عبده بن عبد الرحيم خرجنا في سرية إلى أرض الروم فصحبنا شاب لم يكن فينا اقرا القران منه ولا أفقه منه ولا أفرض صائم النهار قائم الليل فمررنا بحصن لم نؤمر أن نقف على ذلك الحصن فمال الرجل 2 منا عن العسكر ونزل بقرب الحصن فظننا انه يبول فنظر إلى امرأة من النصارى تنظر من وراء الحصن فعشقها فقال لها بالرومية كيف السبيل إليك قالت حين 3 تتنصر ونفتح لك الباب وأنا لك قال ففعل فادخل الحصن قال فقضينا غزاتنا في أشد ما يكون من الغم كان كل رجل منا يرى ذلك بولده من صلبه ثم عدنا في سرية أخرى فمررنا به ينظر من فوق الحصن مع النصارى فقلنا يا 4 فلان ما فعل قراءتك 5 ما فعل علمك ما فعل صلاتك وصيامك قال اعلموا أني نسيت القرآن كله ما أذكر منه الا هذه الآية ربما يودوا الذين كفروا لو كانوا مسلمين ذرهم يأكلوا ويتمتعوا ويلههم الامل فسوف يعلمون قال الشيخ أحمد رحمه الله هكذا يكون حال من تدركه الشقاوة والعياذ بالله وكما تقدم ذكره يكون حال من تدركه السعادة نسأل الله التوفيق والعصمة بفضله
hadith|4320|أخبرنا أبو عبد الله الحافظ أنا أحمد بن محمد بن عبدوس نا 1 عثمان بن سعيد نا نعيم بن حماد نا بن المبارك نا السري بن يحيى حدثني العلاء بن هلال الباهلي أن رجلا من قوم صلة قال لصلة يا أبا الصهباء اني رأيت اني اعطيت شهادة وأعطيت انت شهادتين فقال صلة خيرا رأيت تستشهد واستشهد أنا وابني ان شاء الله فلما كان يوم يزيد بن زياد لقيهم الترك بسجستان وكان أول جيش انهزم من المسلمين ذلك الجيش فقال صلة لابنه ارجع إلى امك فقال ابنه يا ابتاه تريد الخير لنفسك وتأمرني بالرجعة فأنت والله كنت خيرا لأمي مني فقال أما اذ قلت هذا فتقدم فقاتل حتى أصيب قال فرمى صلة وكان رجلا راميا حتى تفرقوا وأقبل يمشي إليه حتى قام عليه فدعا له 2 ثم قاتل حتى قتل
hadith|4321|حدثنا أبو محمد بن يوسف إملاء قال أنا أبو سعيد بن الاعرابي نا أبو داود السجستاني قال قرئ على الحارث بن مسكين وأنا شاهد أخبرك بن القاسم قال مالك بلغني أن عبد الوهاب بن بخت خرج إلى الغزو فانبعثت به راحلته فقال عسى ربي ان يهديني سواء السبيل فاستشهد
hadith|4322|أخبرنا أبو عبد الله الحافظ أخبرني محمد بن إسماعيل السكري نا أبو بكر محمد بن إسحاق نا محمد بن المثنى نا عبد الله بن سنان قال كنت مع بن المبارك والمعتمر بن سليمان بطرطوس فصاح الناس النفير النفير قال فخرج بن المبارك والمعتمر وخرج الناس فلما اصطف المسلمون والعدو خرج رجل من الروم يطلب البراز فخرج إليه مسلم فشد العلج على المسلم فقتل المسلم حتى قتل من المسلمين مبارزة فجعل يتبختر بين الصفين بطلب المبارزة لا يخرج إليه أحد قال فالتفت إلى بن المبارك فقال يا عبد الله ان حدث بي حادث الموت فافعل كذا قال وحرك دابته وخرج العلج فعالج معه ساعة فقتل العلج ثم طلب المبارزة فخرج إليه علج آخر فقتله حتى قتل ستة من العلوج مبارزة ثم طلب البراز فكأنهم كاعوا عنه فضرب دابته ونظر بين الصفين وغاب فلم أشعر بشيء اذا 1 أنا بابن المبارك في الموضع الذي كان فقال لي يا عبد الله لئن حدثت بهذا احدا وأنا حي فذكر كلمة قال فما حدثت به أحدا وهوحي
hadith|4323|أخبرنا أبو عبد الله الحافظ وأبو محمد بن المقرئ قالا 1 نا أبو العباس هو الاصم نا الخضر بن أبان نا سيار قال سمعت مالك بن دينار قال لما كان يوم الرواية قال عبد الله بن غالب إني لأرى أمرأ مالي عليه صبر روحوا بنا إلى الجنة قال فكسر جفن وتقدم فقاتل حتى قتل قال وكان يوجد من قبره ريح المسك قال مالك فانطلقت إلى قبره فأخذت منه ترابا فشممته فوجدت منه ريح المسك
hadith|4324|أخبرنا محمد بن عبد الله الحافظ قال سمعت أبا بكر محمد بن جعفر المزكي نا محمد بن إبراهيم العبدي نا محبوب بن موسى قال سمعت علي بن بكار يقول لقد رأيت رجلا ببلاد الروم وان أمعائه على قربوس سرجه فادخلها بطنه ثم شد بطنه بعمامة ثم قاتل فقتل بضعة عشر علجا
hadith|4325|أخبرنا أبو عبد الله الحافظ أنا أبو عبد الله الصفار نا بن أبي الدنيا حدثني محمد بن علي بن الحسين 1 حدثني إبراهيم بن شماس قال سمعت محمد بن الفضيل بن عياض يقول رأيت عبد الله بن المبارك في المنام فقلت أي العمل وجدت أفضل قال الامر الذي كنت فيه قلت الرباط والجهاد في سبيل الله 2 قال نعم قلت فأي شيء صنع بك ربك فقال 3 غفر لي مغفرة تتبعها مغفرة وكلمتني امرأة من أهل الجنة أو امرأة من الحور العين
hadith|4326|أخبرنا أبو سعيد أحمد بن محمد بن الخليل الماليني أنا أبو القاسم بكير بن محمد بكير نا علي بن يعقوب بن محمد وقال مرة بن إبراهيم نا أبو بكر محمد بن أحمد سميكة 1 حمدويه التميمي قال سمعت قاسم بن عثمان الجرعي يقول رأيت في الطواف حول البيت رجلا فتقدمت 2 منه فإذا هو لا يزيد على قوله اللهم قضيت حاجة المحتاجين وحاجتي لم تقض فقلت له مالك لا تزيد على هذا الكلام فقال أحدثك كنا سبعة رفقاء من بلدان شتى غزونا أرض العدو فاستؤمرنا كلنا فاعتزل بنا لتضرب أعناقنا فنظرت إلى السماء فإذا سبعة أبواب مفتحة عليها سبع حوار من الحور العين على كل باب جارية فقدم رجل منا فضربت عنقه فرأيت جارية في يدها منديل وقد هبطت إلى الأرض حتى ضربت أعناق ستة وبقيت أنا وبقي باب وجارية فلما قدمت لتضرب عنقي استوهبني رجاله فوهبني له فسمعتها تقول أي شيء فاتك يا محروم واغلقت الباب وأنا يا أخي متحسر على ما فاتني قال قاسم بن عثمان اراه أفضلهم لأنه رأى ما لم يروا وترك 3 يعمل على الشوق
chapter||التاسع والعشرون من شعب الايمان وهو باب في اداء خمس المغنم إلى الامام أو عامله على الغانمين
hadith|4327|أخبرنا أبو عبد الله الحافظ نا أبو بكر بن إسحاق الفقيه نا أحمد بن بشر المرثدي نا خلف بن هشام ح وأخبرنا أبو صالح بن أبي طاهر العنبري نا جدي يحيى بن منصور القاضي نا أحمد بن سلمة نا حامد بن عمر بن حفص البكراوي وأحمد بن عبده الضبي نا حماد 1 بن زيد أنا أبو حمزة قال سمعت بن عباس يقول قدم وفد عبد القيس على النبي صلى الله عليه وسلم فقالوا يا رسول الله انا هذا 2 الحي من ربيعه وقد حال 3 بيننا وبينك كفار مضر ولسنا نخلص اليك الا في شهر حرام فمرنا بشيء نأخذ عنك وندعوا إليه من ورائنا قال آمركم بأربع وانهاكم عن أربع الايمان بالله 4 شهادة ان لا اله الا الله واقامة الصلاة وإيتاء الزكاة وأن تؤدوا خمس ما غنمتم وانهاكم عن الدباء والحنتم والنقير والمزفت هذا لفظ حديث أحمد بن عبدة 5 رواه مسلم في الصحيح عن خلف بن هشام 6 ورواه البخاري عن مسدد وغيره عن حماد بن زيد والحكم فيما أمرهم به ثابت وفيما نهاهم عنه من الادعيه منسوخ وهو من مذكور في موضعه
hadith|4328|وأخبرنا أبو الحسن علي بن أحمد بن عبدان أنا أحمد بن عبيد الصفار نا إسماعيل بن إسحاق نا عاصم بن علي نا شعبة أخبرني أبو حمزة قال كان بن عباس يقعدني على سريره فقال لي اقم عندي حتى أجعل لك سهما من مالي فأقمت عنده شهرين شهرا مرضت وشهرا صححت فذكر الحديث إلى أن قال سلوه 1 عن شيء 2 فقال ان عبد القيس لما أتوا رسول الله صلى الله عليه وسلم قال من القوم أو من الوفد قالوا من ربيعة قال مرحبا بالوفد أو بالقوم غير الخزايا ولا الندامى 3 قالوا يا رسول الله انا لا نستطيع أن نأتيك الا في الشهر الحرام وان بيننا وبينك هذا الحي من كفار مضر قريش 4 فأخبرنا بأمر فصل ونخبر به من ورائنا وندخل به الجنة قال وسلوه عن الاشربة فأمرهم بأربع ونهاهم عن أربع أمرهم بالايمان بالله وحده قال تدرون 5 ما الايمان بالله وحده قالوا الله ورسوله اعلم قال شهادة أن لا اله الا الله وأن محمدا رسول الله وإقامة الصلاة وإيتاء الزكاة وصيام رمضان وأن تعطوا من المغنم الخمس ونهاهم عن الختم والدباء والنقير قال فربما قال المقير أو المزفت قال احفظوهن وأخبروا بهن من ورائكم أخرجاه في الصحيح من حديث شعبة قال واذا وجب أن يكون أداء الخمس من الايمان فكذلك أداء كل واحد من الجيش ما يصيبه وحده واحضاره المغنم وجمعه إلى ما اصابه غيره من الإيمان والغلول فسق ولا يحل لأحد من حمله ما أصاب أو أصابه غيره الا الطعام والعلف وقد ذكرنا ذلك في كتاب السير وكتاب قسم الفيء والغنيمة
hadith|4329|أخبرنا أبو نصر بن قتادة وأبو بكر محمد بن إبراهيم الفارسي أنا أبو عمرو بن مطر نا إبراهيم بن علي نا يحيى بن يحيى أنا خالد بن عبد الله عن خالد عن عبد الله بن شقيق عن رجل من بلقين عن بن عم له أنه قال أتيت رسول الله صلى الله عليه وسلم وهو بوادي القرى فقلت يا رسول الله بما أمرت قال أمرت أن اقاتل الناس حتى يقولوا لا اله الا الله ويقيموا الصلاة ويؤتوا الزكاة قلت من هؤلاء عندك قال المغضوب عليهم اليهود ولا الضالين النصارى قلت ما تقول في هذا المال قال لله خمسة وأربعة أخماسه لهؤلاء يعني المسلمين قلت فهل أحد أحق به من أحد قال لا ولو انتزعت سهما من جنبك لم تكن بأحق به من أخيك المسلم
hadith|4330|أخبرنا أبو عبد الله الحافظ أخبرني أبو عمرو بن أبي جعفر أنا الحسن بن سفيان نا أبو بكر بن أبي شيبة نا عبد الرحمن بن سليمان عن أبي حيان عن أبي زرعة عن أبي هريرة قال قام فينا رسول الله صلى الله عليه وسلم خطيبا وذكر الغلول فعظمه وعظم أمره ثم قال أيها الناس لا ألفين أحدكم يجيء يوم القيامة على رقبته بعير له رغاء يقول يا رسول الله اغثني فأقول لا أملك لك شيئا قد بلغتك لا ألفين أحدكم يجيء يوم القيامة على رقبته شاة لها ثغاء يقول يا رسول الله اغثني فأقول لا أملك لك شيئا قد بلغت لا ألفين أحدكم يجيء يوم القيامة على رقبته بقرة 1 لها خوار يقول يا رسول الله اغثني فأقول لا أملك لك شيئا قد بلغت ولا ألفين أحدكم يجيء يوم القيامة على رقبته رقاع يقول يا رسول الله أغثني فأقول لا املك لك 2 من الله شيئا قد بلغتك ولا الفين أحدكم يجيء يوم القيامة على رقبته صامت يقول يا رسول الله أغثني فأقول لا أملك لك من الله شيئا قد بلغتك و 3 لا ألفين أحدكم يجيء يوم القيامة على رقبته نفس لها صياح يقول يارسول الله أغثني فأقول لا أملك لك من الله شيئا قد بلغتك رواه مسلم في الصحيح عن أبي بكر بن أبي شيبة وأخرجاه من أوجه أخر 4 عن أبي حيان التيمي
hadith|4331|أخبرنا علي بن أحمد بن عبدان نا أحمد بن عبيد الصفار نا عباس بن الفضل ومحمد بن حيان بن راشد نا أبو الوليد ح وأخبرنا الفقيه أبو طالب عمر بن إبراهيم بن سعيد الوقاصي البغدادي بمكة نا أبو بكر أحمد بن جعفر بن حمدان القطيعي قال 1 نا الفضل بن حباب الجمحي نا أبو الوليد الطيالسي نا عكرمة بن عمار حدثني أبو زميل نا بن 2 عباس حدثني عمر بن الخطاب قال لما قتل نضر يوم خيبر نادى مناد من أهل خيبر قتل نفر من أصحاب رسول الله صلى الله عليه وسلم قالوا فلان شهيد وفلان شهيد حتى ذكروا رجلا فقالوا فلان شهيد فقال رسول الله صلى الله عليه وسلم كلا اني رأيته في النار في عباءة غلها أو بردة غلها فقال رسول الله صلى الله عليه وسلم يا بن الخطاب أذهب فناد في الناس أنه لا يدخل الجنة الا المؤمنون قال فذهبت فناديت في الناس أخرجه مسلم في الصحيح 3 من وجه آخر عن عكرمة بن عمار
hadith|4332|أخبرنا أبو عبد الله الحافظ نا أبو العباس محمد بن يعقوب نا محمد بن عبيد الله المنادي نا يزيد 1 بن هارون نا يحيى بن سعيد عن محمد بن يحيى بن حبان عن أبي عمرة مولى زيد بن خالد عن زيد بن خالد الجهني أن رجلا من جهينة توفي بخيبر فذكروه لرسول الله صلى الله عليه وسلم قال 2 صلوا على صاحبكم فتغير وجوه الناس فلما رأى الذي بهم قال ان صاحبكم غل في سبيل الله قال ففتشنا متاعه فوجدنا خرزا من خرز اليهود والله ما يساوي درهمين
hadith|4333|أخبرنا أبو الحسن 1 المقرئ أنا الحسن بن محمد بن إسحاق نا يوسف بن يعقوب نا أحمد بن عيسى نا بن وهب ح وأخبرنا علي بن أحمد بن 2 عبدان أنا أحمد بن عبيد الصفار نا أبو حكيم الانصاري نا حرملة نا 3 بن وهب أخبرني بن جريج عن مسدد رجل من آل أبي رافع أخبره عن الفضل بن عبيد الله عن أبي رافع قال كان رسول الله صلى الله عليه وسلم اذا صلى العصر ذهب إلى بني عبد الاشهل فيتحدث عندهم حتى المغرب قال أبو رافع فبينا النبي صلى الله عليه وسلم يسرع إلى المغرب اذ مر بالبقيع فقال أف لك أف لك 4 فاستأخرت وظننت أنه يريدني فقال مالك امش فقلت أحدثت حدثا أففت 5 بي قال لا ولكن هذا فلان بعثته ساعيا على بني فلان فغل نمرة فدرع الآن مثلها في النار
hadith|4334|أخبرنا أبو الحسين بن بشران أنا أبو جعفر محمد بن عمرو الرزاز أنا محمد بن عبد الملك بن مروان نا إسماعيل بن أبان الوراق الكوفي نا محمد بن أبان عن علقمة بن مرثد عن بن بريدة عن أبيه قال قال رسول الله صلى الله عليه وسلم ان الحجر ليزن سبع حلقات فيلقي في جهنم فيهوي فيها سبعين خريفا ويؤتى بالغلول فيلقي معه ثم يكلف صاحبه أن يأتي به قال فهو قول الله ومن يغلل يأت بما غل يوم القيامة
chapter||الثلاثون من شعب الايمان وهو باب في العتق ووجه التقرب إلى الله عز وجل 1
hadith|4335|أخبرنا أبو الحسن علي بن أحمد بن عبدان أنا أحمد بن عبيد الصفار نا إسحاق بن الحسن الحربي نا أبو نعيم نا عيسى بن عبد الرحيم حدثني طلحة اليامي 1 عن عبد الرحمن بن عوسجة عن البراء قال جاء أعرابي إلى رسول الله صلى الله عليه وسلم فقال يارسول الله علمني عملا يدخلني الجنة قال لئن كنت أقصرت 2 الخطبة لقد أعرضت المسألة أعتق النسمة وفك الرقبة قال أوليستا واحدا قال لا عتق النسمة أن تنفرد 3 بعتقها وفك الرقبة في ثمنها والمنحة الوكوف أظنه قال والفيء على ذي الرحم الظالم فإن لم تطق ذلك فأطعم الجائع واسق الظمآن وأمر بالمعروف وانه عن المنكر فان لم تطق ذلك فكف لسانك الا من خير
hadith|4336|أخبرنا علي بن أحمد بن عبدان أنا أحمد بن عبيد نا أحمد بن علي الحزاز نا داود بن رشيد أبو الفضل نا الوليد هو 1 بن مسلم عن أبي غسان محمد هو بن مطرف عن زيد بن أسلم عن علي بن حسين عن سعيد بن مرجانة عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم من أعتق رقبة أعتق الله بكل عضو منها عضوا منه 4 من النار حتى فرجه بفرجه
hadith|4337|وأخبرنا أبو عبد الله الحافظ حدثني عبد الله بن سعد نا مسدد بن قطن نا داود بن رشيد فذكره باسناده نحوه غير أنه قال عن النبي صلى الله عليه وسلم قال من أعتق رقبة مؤمنة وقال عضوا من أعضائه من النار رواه مسلم في الصحيح عن داود بن رشيد ورواه البخاري عن صاعقة عن 1 داود
hadith|4338|أخبرنا أبو عبد الله الحافظ نا أبو العباس محمد بن يعقوب نا العباس بن محمد الدوري نا أبو النصر هاشم بن القاسم نا عاصم بن محمد العمري ح وأخبرنا أبو عبد الله نا أبو بكر بن إسحاق الفقيه إملاء أنا عبد الله بن محمد نا حميد بن مسعده نا بشر بن المفضل نا عاصم حدثني واقد بن محمد حدثني سعيد بن مرجانة صاحب علي 2 بن الحسين قال سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم أيما امرئ مسلم أعتق امرأ مسلما استنقذه الله بكل عضو منه عضوا منه 2 من النار قال فانطلقت حين سمعت هذا الحديث من أبي هريرة فذكره لعلي بن الحسين فأعتق عبدا له قد أعطاه بن جعفر به عشرة آلاف أوألف دينار ورواه مسلم في الصحيح عن حميد بن مسعدة ورواه البخاري عن أحمد بن يونس عن عاصم
hadith|4339|أخبرنا أبو عبد الله محمد بن أحمد بن أبي طاهر بن البياض 1 ببغداد أنا علي بن محمد بن سليمان الخرقي نا أبو قلابة نا مكي بن إبراهيم نا عبد الله بن سعيد عن إسماعيل بن أبي حكيم عن سعيد بن مرجانة عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم من 2 أعتق رقبة مؤمنة فهي فداؤه من النار حتى أنه ليعتق اليد باليد والرجل بالرجل والفم بالفم والفرج بالفرج فقال 3 علي بن الحسين أنت سمعت هذا من أبي هريرة فقال نعم قال ادعو الي افره غلماني مطرفا فأعتقه أخرجه مسلم في الصحيح من حديث يحيى بن 4 القطان عن عبد الله بن سعيد بن أبي هند
hadith|4340|أخبرنا أبو الحسين بن بشران أنا أبو جعفر محمد بن عمرو الرزاز نا يحيى بن جعفر نا علي بن عاصم أنا حصين بن عبد الرحمن عن سالم بن أبي الجعد عن عمرو بن عبسة قال قال رسول الله صلى الله عليه وسلم أيما امرئ مسلم أعتق امرأتين مسلمتين فهما فكاكه من النار كل عضو فيهما 1 عضو منه وأيما امرأة مسلمة اعتقت امرأة مسلمة فهي فكاكها يجزئ كل عضو منها عضوا من النار قال الشيخ أحمد سقط من إسناده معدان بن أبي 2 طلحة
hadith|4341|أخبرنا الشيخ أبو بكر بن فورك أنا عبد الله بن جعفر نا يونس بن حبيب نا أبو داود نا هشام عن قتادة عن سالم بن أبي الجعد عن معدان بن أبي طلحة اليعمري عن أبي نجيح السلمي قال حاصرنا مع رسول الله صلى الله عليه وسلم قصر الطائف فسمعت رسول الله صلى الله عليه وسلم يقول من بلغ بسهم في سبيل الله فهو له عدل محرر فبلغت يومئذ ستة عشر سهما فسمعت رسول الله صلى الله عليه وسلم يقول من رمى بسهم في سبيل الله فهو له درجة في الجنة ومن شاب شيبة في الاسلام كانت له نورا 1 يوم القيامة وأيما رجل مسلم أعتق رجلا 2 مسلما فإن الله عز وجل 3 جاعل وفاء 4 بكل 5 عظم من عظامه عظما من عظام 6 محررة من النار وأيما امرأة مسلمة اعتقت امرأة مسلمة فإن الله جاعل وفاء 7 بكل 8 عظم من عظامها عظما من 9 عظام محررته 10 من النار
